item_id,author_id,duration,train_interactions_rank,video_id,channel,view_count,topic,creator_trait,prosocial,risk,appearance_comparison,opinion_comparison
88620250,558,11,19270549,vid_88620250,creator_558,357050,entertainment,rural,0,0,0.26170568373590597,0.672702994208898
218436133,558,14,19264036,vid_218436133,creator_558,363563,news,rural,1,0,0.24697879907199982,0.7966813971913723
436082061,558,14,19264046,vid_436082061,creator_558,363553,education,rural,1,1,0.9062545805210367,0.250467898792499
344447950,558,15,19181835,vid_344447950,creator_558,445764,music,rural,0,0,0.2495461998495061,0.6248740996069989
62832841,558,17,19184376,vid_62832841,creator_558,443223,sports,rural,0,1,0.271949726128631,0.5717459831437487
62976812,558,18,19583872,vid_62976812,creator_558,43727,education,rural,0,0,0.7593982624179637,0.8328303767882711
241443793,558,19,19441587,vid_241443793,creator_558,186012,music,rural,0,0,0.44973984245054,0.9060870604812605
77135085,558,19,19441588,vid_77135085,creator_558,186011,education,rural,1,1,0.7767105569551812,0.012156771477386807
565361641,558,20,19321246,vid_565361641,creator_558,306353,news,rural,0,0,0.06536615756438524,0.6740199190587927
397100805,558,20,19321245,vid_397100805,creator_558,306354,sports,rural,1,0,0.4875711936733843,0.05183579911972902
310250353,558,20,19321242,vid_310250353,creator_558,306357,lifestyle,rural,0,0,0.03361360018328263,0.5488586650773559
496611365,558,21,19198552,vid_496611365,creator_558,429047,sports,rural,1,1,0.06265320345535452,0.2876327290436782
420987248,558,21,19198551,vid_420987248,creator_558,429048,lifestyle,rural,1,1,0.906437453344411,0.3067765995221412
492003963,558,22,19385295,vid_492003963,creator_558,242304,news,rural,0,0,0.13924537111759516,0.3529585034523566
189113223,558,22,19385313,vid_189113223,creator_558,242286,education,rural,0,0,0.5324206822752171,0.6212924490496101
36405025,558,22,19385290,vid_36405025,creator_558,242309,education,rural,0,1,0.41109560260070654,0.3340499656687692
484039089,558,22,19385292,vid_484039089,creator_558,242307,music,rural,0,0,0.3473433262588427,0.7326990505902804
339501751,558,23,19516698,vid_339501751,creator_558,110901,news,rural,0,0,0.8998333456872725,0.4045273855738697
130824350,558,23,19516655,vid_130824350,creator_558,110944,gaming,rural,0,1,0.0218233967754895,0.06835320030995862
197171798,558,23,19516642,vid_197171798,creator_558,110957,sports,rural,0,0,0.6637896861755891,0.7837598424841072
385244168,558,25,19216118,vid_385244168,creator_558,411481,lifestyle,rural,0,0,0.9633944342135504,0.285758324592706
184090680,558,25,19216114,vid_184090680,creator_558,411485,entertainment,rural,0,0,0.5601681834618419,0.43276687959926263
102459603,558,25,19216105,vid_102459603,creator_558,411494,education,rural,0,1,0.9368224620330918,0.6854438832219015
152051191,558,25,19216107,vid_152051191,creator_558,411492,sports,rural,0,1,0.05225787928602377,0.332456157148712
444988783,558,25,19216110,vid_444988783,creator_558,411489,lifestyle,rural,0,1,0.4187933190741614,0.056585656146715624
46603258,558,26,19285643,vid_46603258,creator_558,341956,sports,rural,1,0,0.26015779096205116,0.3739210470128136
381108592,558,27,19358227,vid_381108592,creator_558,269372,gaming,rural,0,1,0.7308209649807298,0.9444485826943034
336654097,558,27,19358218,vid_336654097,creator_558,269381,entertainment,rural,0,1,0.9812970904972467,0.6417343972985582
551449058,558,27,19358226,vid_551449058,creator_558,269373,news,rural,0,0,0.2565300624442478,0.6714791486672069
467823629,558,28,19424853,vid_467823629,creator_558,202746,sports,rural,0,1,0.6541746014740745,0.6322821536376398
78039510,558,28,19424859,vid_78039510,creator_558,202740,gaming,rural,0,0,0.19809763275974013,0.1989921389594368
141240410,558,28,19424852,vid_141240410,creator_558,202747,lifestyle,rural,0,0,0.5653302545716099,0.41833386410228013
567200590,558,28,19424855,vid_567200590,creator_558,202744,entertainment,rural,0,0,0.4639324866883362,0.7509397983633183
461076671,558,28,19424875,vid_461076671,creator_558,202724,news,rural,1,0,0.9720053296315371,0.10137289755315915
165246676,558,28,19424869,vid_165246676,creator_558,202730,news,rural,1,0,0.6085272726964666,0.27785277608971226
184062013,558,28,19424866,vid_184062013,creator_558,202733,news,rural,1,0,0.3495063720868188,0.2763191084658536
213429997,558,29,19494021,vid_213429997,creator_558,133578,education,rural,0,0,0.11409578488793337,0.432018927594506
514003842,558,29,19494017,vid_514003842,creator_558,133582,lifestyle,rural,0,0,0.15124682873493456,0.9803687409421851
283195830,558,29,19494011,vid_283195830,creator_558,133588,gaming,rural,0,0,0.2253169299512351,0.06750254668382194
368148527,558,29,19494009,vid_368148527,creator_558,133590,sports,rural,0,0,0.250966661340298,0.518700994380595
375480538,558,29,19494018,vid_375480538,creator_558,133581,music,rural,0,0,0.8506160578411378,0.17936468201221045
516766046,558,30,19564799,vid_516766046,creator_558,62800,gaming,rural,0,0,0.5612227882825249,0.9706765454097441
390988310,558,31,19592169,vid_390988310,creator_558,35430,education,rural,0,0,0.5233909113743664,0.1133035047274642
358583109,558,31,19592164,vid_358583109,creator_558,35435,entertainment,rural,1,0,0.11476887186921747,0.40360100236159124
406805318,558,32,19461156,vid_406805318,creator_558,166443,education,rural,0,1,0.860139693349435,0.7378849848346062
229791915,558,32,19461161,vid_229791915,creator_558,166438,gaming,rural,0,0,0.7228143032084837,0.7045544280274453
12206861,558,32,19461148,vid_12206861,creator_558,166451,entertainment,rural,0,0,0.06766836190000158,0.42272863689393225
360978590,558,33,19343234,vid_360978590,creator_558,284365,news,rural,0,0,0.7078350972297687,0.34652416795271823
199751504,558,34,19226803,vid_199751504,creator_558,400796,sports,rural,0,1,0.5435382173426461,0.39761237855287057
105392588,648,8,19602178,vid_105392588,creator_648,25421,gaming,urban,0,0,0.08172534574677826,0.2642762631586393
296006053,648,16,19447329,vid_296006053,creator_648,180270,music,urban,1,1,0.45830064152865646,0.2053329387067998
53739659,648,48,19253182,vid_53739659,creator_648,374417,lifestyle,urban,1,0,0.484696287130047,0.48303969755889
380619593,648,51,19517357,vid_380619593,creator_648,110242,entertainment,urban,1,1,0.16577454016327575,0.2685337560676073
579973587,648,55,19511279,vid_579973587,creator_648,116320,lifestyle,urban,1,0,0.9456981470002823,0.2874616648972501
212054098,648,59,19293215,vid_212054098,creator_648,334384,education,urban,0,1,0.8499753714806619,0.6567560634745571
22029783,648,62,19508989,vid_22029783,creator_648,118610,entertainment,urban,1,0,0.6690223373291083,0.9685373316998922
327483897,648,66,19445937,vid_327483897,creator_648,181662,education,urban,0,0,0.4622955610006072,0.6036372005593751
208655234,648,68,19329960,vid_208655234,creator_648,297639,sports,urban,0,0,0.4117655415845085,0.07697946706496628
260047158,648,73,19176485,vid_260047158,creator_648,451114,gaming,urban,0,0,0.6509734671509542,0.07558361385406698
361707229,793,16,19447326,vid_361707229,creator_793,180273,gaming,urban,0,0,0.5454318694069055,0.951423220845566
168849438,804,44,19200052,vid_168849438,creator_804,427547,lifestyle,rural,0,1,0.062273105881885615,0.29729079030733363
175854209,804,49,19343407,vid_175854209,creator_804,284192,gaming,rural,0,1,0.5125026487703317,0.09206698608247543
75189213,804,59,19293214,vid_75189213,creator_804,334385,music,rural,1,0,0.8064036172328395,0.5990445871503816
443282508,817,59,19293213,vid_443282508,creator_817,334386,sports,suburban,0,0,0.45923987759695806,0.6236487782902661
406734518,842,8,19602190,vid_406734518,creator_842,25409,sports,international,0,0,0.05195657755426841,0.6485048201186882
293197489,842,18,19583870,vid_293197489,creator_842,43729,entertainment,international,0,0,0.7862781993840331,0.2674020278575413
269461403,842,35,19311890,vid_269461403,creator_842,315709,news,international,0,0,0.2013637821359744,0.015110684214475034
143433590,842,42,19437039,vid_143433590,creator_842,190560,education,international,1,0,0.2586208348880388,0.9650153694544719
515937286,842,43,19318466,vid_515937286,creator_842,309133,lifestyle,international,0,0,0.1647063534322959,0.2508930456911025
